order,sheet number ,date,local,species,nest,replicate nest,round,treatment,visit,age,band,nestlingID,colors,fledged,bill,tarsus,wingchord,mass,lesions,bknares,hg,hct1,hct2 ,hct,,,,,,
462,38,24-Apr-15,Rohan,GAMO,52,2,2,P,2,4,,52.2-B,,0,4.5,19.43,0.83,13.77,0,1,5.6,9.04,38.87,0.232570105,,,,,,
456,37,23-Apr-15,UR,GAMO,35,2,2,W,2,6,DC587,35.2-R,,1,6,20.41,4.13,13.17, , ,5.7,,,,,,,,,
359,29,16-Apr-15,Shire,GAMO,108,2,2,W,2,5,DC561,108.2-N,,0,4.16,15.53,0.67,12.78,0,1,4,1.51,10.31,0.146459748,,,,,,
364,30,16-Apr-15,RIV,GAMO,109,2,2,W,2,4,,109.2-R,,0,4.12,15.45,1.38,12.74,1,1,3.1,7.95,56.07,0.141787052,,,,,,
425,35,21-Apr-15,UR,GAMO,117,2,2,P,2,5,,117.2-S,,0,4.62,13.82,0.73,12.63,0,0,,,,,,,,,,
479,39,25-Apr-15,gondor mesa,GAMO,137,2,2,P,2,4,DC612,137.2-N,,1,4.4,14.8,,11.54,0,0,,,,,,,,,,
527,43,29-Apr-15,Rohan,GAMO,91,2,2,P,2,5,DC618,91.2-S,,1,4.18,14.36,0.82,11.02,0,0,,,,,,,,,,
457,37,23-Apr-15,UR,GAMO,35,2,2,W,2,5,,35.2-L,,0,5.48,17.35,1.68,10.4,0,2,4.7,13.69,63.63,0.215150086,,,,,,
365,30,16-Apr-15,RIV,GAMO,109,2,2,W,2,4,,109.2-L,,0,4.01,12.97,,9.92,0,2,4.3,6.18,41.33,0.149528188,,,,,,
396,33,20-Apr-15,RIV,GAMO,2,2,2,P,2,6,DC581,2.2-S,,1,4.03,13.97,,9.7,0,0,,,,,,,,,,
463,38,24-Apr-15,Rohan,GAMO,52,2,2,P,2,4,DC598,52.2-N,,1,4.26,13.35,,9.14,0,1,,,,,,,,,,
554,46,2-May-15,gondor mesa,GAMO,138,2,2,P,2,5,DC636,138.2-S,,1,3.91,13.46,,8.73,0,0,5.5,,,,,,,,,
458,37,23-Apr-15,UR,GAMO,35,2,2,W,2,5,DC586,35.2-B,,1,4.95,15.43,1.07,8.7,0,,,,,,,,,,,
459,38,23-Apr-15,UR,GAMO,35,2,2,W,2,5,,35.2-N,,0,4.59,15.7,0.45,8.17,0,2,4.4,11.67,56.98,0.204808705,,,,,,
445,36,22-Apr-15,RIV,GAMO,95,2,2,P,1,2,DC601,95.2-B,,1,3.19,9.38,,7.66,0,1,,,,,,,,,,
444,36,22-Apr-15,RIV,GAMO,95,2,2,P,1,2,DC600,95.2-L,,1,3.53,9.87,,7.63,0,0,,,,,,,,,,
344,28,15-Apr-15,RIV,GAMO,2,2,2,P,1,2,DC579,2.2-R,,1,3.53,9.09,,6.92,0,2,,,,,,,,,,
417,34,21-Apr-15,Mordor,GAMO,52,2,2,P,1,2,DC596,52.2-R,,1,,9.08,,6.58,0,1,,,,,,,,,,
482.2,39.5,25-Apr-15,Rohan,GAMO,91,2,2,P,1,2,DC615,91.2-L,,1,3.12,9.27,,6.5,,,,,,,,,,,,
346,28,15-Apr-15,RIV,GAMO,2,2,2,P,1,2,DC578,2.2-B,,1,3.18,9.03,,6.18,0,1,,,,,,,,,,
443,36,22-Apr-15,RIV,GAMO,95,2,2,P,1,2,DC599,95.2-R,,1,3.11,7.62,,6.11,0,1,,,,,,,,,,
317,27,12-Apr-15,Turnaround,GAMO,108,2,2,W,1,2,DC560,108.2-L,,0,2.63,9.3,,5.77,0,2,,,,,,,,,,
325,27.5,12-Apr-15,Plot,GAMO,131,2,2,W,1,2,DC569,131.2-R,,1,3.32,8.64,,5.75,0,0,,,,,,,,,,
482.1,39.5,25-Apr-15,Rohan,GAMO,91,2,2,P,1,2,DC614,91.2-R,,1,3.35,8.54,,5.71,,,,,,,,,,,,
418,34,21-Apr-15,Mordor,GAMO,52,2,2,P,1,2,DC595,52.2-L,,1,3.42,8.42,,5.68,0,1,,,,,,,,,,
382,31,19-Apr-15,UR,GAMO,35,2,2,W,1,2,DC587,35.2-R,,1,3.09,8.97,,5.45,0,1,,,,,,,,,,
390,32,20-Apr-15,UR,GAMO,98,2,2,W,1,2,,98.2-L,,0,3.04,7.64,,5.4,0,2,,,,,,,,,,
345,28,15-Apr-15,RIV,GAMO,2,2,2,P,1,2,DC582,2.2-L,,1,2.92,8.04,,5.37,0,0,,,,,,,,,,
319,27,12-Apr-15,Turnaround,GAMO,108,2,2,W,1,2,DC562,108.2-B,,1,2.7,8.21,,5.24,0,2,,,,,,,,,,
350,29,15-Apr-15,UR,GAMO,103,2,2,P,1,1,DC574,103.2-L,,1,3.17,7.98,,5.24,0,1,,,,,,,,,,
326,27.5,12-Apr-15,Plot,GAMO,131,2,2,W,1,2,,131.2-L,,0,2.78,9.11,,5.14,0,0,,,,,,,,,,
483.3,39.5,25-Apr-15,Rohan,GAMO,91,2,2,P,1,2,DC616,91.2-B,,1,2.94,8.71,,5.09,,,,,,,,,,,,
369,30,16-Apr-15,UR,GAMO,117,2,2,P,1,1,DC585,117.2-B,,1,2.95,8.65,,4.93,0,0,,,,,,,,,,
336,28,13-Apr-15,RIV ,GAMO,109,2,2,W,1,1,,109.2-R,,0,2.75,7.07,,4.79,0,0,,,,,,,,,,
555,46,2-May-15,Rohan,GAMO,53,2,2,W,1,1,,53.2-R,,0,2.88,9.02,,4.78,0,0,,,,,,,,,,
349,29,15-Apr-15,UR,GAMO,103,2,2,P,1,1,DC576,103.2-B,,1,3.17,8.32,,4.77,0,1,,,,,,,,,,
368,30,16-Apr-15,UR,GAMO,117,2,2,P,1,1,DC583,117.2-L,,1,3.04,8.05,,4.71,0,0,,,,,,,,,,
389,32,20-Apr-15,UR,GAMO,98,2,2,W,1,1,,98.2-R,,0,3.09,7.71,,4.61,2,1,,,,,,,,,,
367,30,16-Apr-15,UR,GAMO,117,2,2,P,1,1,DC584,117.2-R,,1,2.79,8.35,,4.51,0,0,,,,,,,,,,
434,36,21-Apr-15,gondor mesa,GAMO,137,2,2,P,1,1,DC611,137.2-L,,1,2.73,7.13,,4.39,0,0,,,,,,,,,,
419,34,21-Apr-15,Mordor,GAMO,52,2,2,P,1,1,,52.2-B,,0,3.21,7.09,,4.36,0,1,,,,,,,,,,
484.4,39.5,25-Apr-15,Rohan,GAMO,91,2,2,P,1,1,DC617,91.2-N,,1,2.9,7.64,,4.36,,,,,,,,,,,,
306,27,10-Apr-15,Gondor,GAMO,115,2,2,W,1,1,,115.2-R,,0,2.69,7.52,,4.26,0,1,,,,,,,,,,
347,28,15-Apr-15,RIV,GAMO,2,2,2,P,1,1,DC580,2.2-N,,1,2.82,7.41,,4.19,0,0,,,,,,,,,,
391,32,20-Apr-15,UR,GAMO,98,2,2,W,1,1,,98.2-N,,0,3,6.97,,4.18,0,0,,,,,,,,,,
327,27.5,12-Apr-15,Plot,GAMO,131,2,2,W,1,1,DC568,131.2-B,,1,2.52,8.57,,4.13,0,0,,,,,,,,,,
435,36,21-Apr-15,gondor mesa,GAMO,137,2,2,P,1,1,DC608,137.2-R,,1,2.6,6.91, ,4.09,0,0,,,,,,,,,,
383,31,19-Apr-15,UR,GAMO,35,2,2,W,1,1,,35.2-L,,0,3.04,7,,3.97,0,0,,,,,,,,,,
440,36,22-Apr-15,Rohan,GAMO,24,2,2,P,1,1,DC613,24.2-R,,0,2.73,7.33,,3.93,0,0,,,,,,,,,,
446,36,22-Apr-15,RIV,GAMO,95,2,2,P,1,1,DC602,95.2-N,,1,2.78,7.6,,3.91,0,0,,,,,,,,,,
507,42,27-Apr-15,gondor mesa,GAMO,138,2,2,P,1,1,DC632,138.2-R,,1,2.84,7.2,,3.89,0,0,,,,,,,,,,
307,27,10-Apr-15,Gondor,GAMO,115,2,2,W,1,1,,115.2-L,,0,2.44,7.49,,3.8,0,0,,,,,,,,,,
508,42,27-Apr-15,gondor mesa,GAMO,138,2,2,P,1,1,DC633,138.2-L,,1,2.88,7.69,,3.69,0,0,,,,,,,,,,
441,36,22-Apr-15,Rohan,GAMO,24,2,2,P,1,1,DC607,24.2-L,,0,2.75,7.03,,3.67,0,0,,,,,,,,,,
318,27,12-Apr-15,Turnaround,GAMO,108,2,2,W,1,1,DC563,108.2-R,,1,2.46,7.18,,3.54,0,0,,,,,,,,,,
337,28,13-Apr-15,RIV ,GAMO,109,2,2,W,1,1,,109.2-L,,0,2.43,6.73,,3.47,0,1,,,,,,,,,,
547,45,2-May-15,Rohan,GAMO,24,2,2,P,3,11,DC613,24.2-R,SBlWO,0,9.08,34.55,17.8,,0,0,10.7,16.48,52.44,0.314263921,,,,,,
548,46,2-May-15,Rohan,GAMO,24,2,2,P,3,11,DC607,24.2-L,RWSR,0,8.79,33.97,17.18,,0,0,12.3,22.87,58.53,0.390739792,,,,,,
549,46,2-May-15,Rohan,GAMO,24,2,2,P,3,10,DC609,24.2-N,YGSG,1,8.16,34.78,15.61,,0,0,8.1,21.16,66.24,0.319444444,,,,,,
399,33,20-Apr-15,LR,GAMO,42,2,2,W,1,3,DC588,42.2-B,B,,3.64,9.52,,8.3,0,2,,,,,,,,,0,0
398,33,20-Apr-15,LR,GAMO,42,2,2,W,1,3,DC589,42.2-L,L,,3.45,8.71,,6.88,0,1,,,,,,,,Marked on R leg and erased with alcohol,0,0
400,33,20-Apr-15,LR,GAMO,42,2,2,W,1,2,,42.2-N,N,,3.02,8.31,,4.91,0,0,,,,,,,,wet,0,0
397,33,20-Apr-15,LR,GAMO,42,2,2,W,1,3,DC590,42.2-R,R,,3.96,9.48,,8.64,0,0,,,,,,,,Lesion in beak R,0,0
504,41,27-Apr-15,Gondor,GAMO,25,2,2,P,1,2,DC628,25.2-B,B,,3.96,10.33,,7.61,0,1,,,,,,,,,0,0
503,41,27-Apr-15,Gondor,GAMO,25,2,2,P,1,3,DC627,25.2-L,L,,3.83,11.05,,8.53,2,1,,,,,,,,2 lesions on abdomen ,0,0
505,41,27-Apr-15,Gondor,GAMO,25,2,2,P,1,2,,25.2-N,N,,3.24,9.04,,5.3,0,0,,,,,,,,,0,0
502,41,27-Apr-15,Gondor,GAMO,25,2,2,P,1,3,DC626,25.2-R,R,,4.21,10.85,,9.05,0,1,,,,,,,,Switched to water treatment because birds already showed signs of infestation/ older chicks looked older than 48h ,0,0
506,41,27-Apr-15,Gondor,GAMO,25,2,2,P,1,1,,25.2-S,S,,2.96,6.92,,3.98,0,0,,,,,,,,Still wet ,0,0
