order,sheet number ,date,local,species,nest,replicate nest,round,treatment,visit,age,band,nestlingID,colors,fledged,bill,tarsus,wingchord,mass,lesions,bknares,hg,hct1,hct2 ,hct,,,,,,
63,7,10-Mar-15,AZ,GAMO,111,1,1,P,1,1,DC509,111-L,,1,2.84,8.6,,4.99,0,2,,,,,,,,,,
33,4,8-Mar-15,Gondor,GAMO,20,1,1,W,1,1,DC497,20-R,,1,2.39,7.97,,4.98,0,1,,,,,,,,,,
65,7,10-Mar-15,AZ,GAMO,122,1,1,W,1,1,,122-R,,0,2.8,7.83,,4.98,0,1,,,,,,,,,,
112,11,13-Mar-15,UR,GAMO,76,1,1,W,1,1,,76-N,,0,3.07,8.7,,4.93,0,2,,,,,,,,,,
4,1,4-Mar-15,Beach,GAMO,59,1,1,P,1,1,,59-N,,0,3.27,8.25,,4.9,0,0,,,,,,,,,,
139,13,14-Mar-15,HD,GAMO,140,1,1,W,2,5,,140-B,,0,3.78,11.56,,4.88,0,1,,,,,,,,,,
77,8,10-Mar-15,HD,GAMO,140,1,1,W,1,1,DC501,140-L,,1,2.73,8.61,,4.85,0,0,,,,,,,,,,
45,5,10-Mar-15,UR,GAMO,74,1,1,P,1,1,DC514,74-R,,0,2.63,8.12,,4.74,0,2,,,,,,,,,,
66,7,10-Mar-15,AZ,GAMO,122,1,1,W,1,1,,122-L,,0,2.96,8.37,,4.73,0,2,,,,,,,,,,
267,24,21-Mar-15,Gondor,GAMO,7,1,1,W,1,1,DC546,7-L,,1,2.77,9.68,,4.7,0,1,,,,,,,,,,
47,5,10-Mar-15,UR,GAMO,74,1,1,P,1,1,,74-B,,0,2.76,8.16,,4.45,0,1,,,,,,,,,,
23,3,8-Mar-15,UR,GAMO,85,1,1,W,1,1,,85-L,,0,2.75,7.68,,4.35,0,1,,,,,,,,,,
210,19,17-Mar-15,LR,GAMO,88,1,1,P,1,1,DC540,88-R,,1,2.0828,7.7724,,4.21,0,0,,,,,,,,,,
101,10,12-Mar-15,Gondor,GAMO,25,1,1,P,1,1,DC523,25-R,,1,2.72,8.07,,4.15,0,0,,,,,,,,,,
35,4,8-Mar-15,Gondor,GAMO,20,1,1,W,1,1,DC498,20-B,,1,2.65,7.98,,4.08,0,2,,,,,,,,,,
34,4,8-Mar-15,Gondor,GAMO,20,1,1,W,1,1,DC496,20-L,,1,2.01,7.17,,3.98,0,0,,,,,,,,,,
46,5,10-Mar-15,UR,GAMO,74,1,1,P,1,1,DC515,74-L,,1,2.94,8.26,,3.91,0,0,,,,,,,,,,
78,8,10-Mar-15,HD,GAMO,140,1,1,W,1,1,,140-B,,0,2.57,7.7,,3.9,0,0,,,,,,,,,,
10,1,4-Mar-15,UR,GAMO,89,1,1,P,1,1,DC424,89-N,,1,2.27,7.28,,3.8,0,0,,,,,,,,,,
111,10,13-Mar-15,UR,GAMO,76,1,1,W,1,1,,76-B,,0,2.9,7.63,,3.72,0,2,,,,,,,,,,
117,11,13-Mar-15,UR,GAMO,100,1,1,P,1,1,DC526,100-R,,1,2.53,8.84,,3.65,0,0,,,,,,,,,,
266,24,21-Mar-15,Gondor,GAMO,7,1,1,W,1,1,DC545,7-R,,0,2.52,8.18,,3.5,0,0,,,,,,,,,,
25,3,8-Mar-15,UR,GAMO,85,1,1,W,1,1,,85-N,,0,2.15,6.78,,3.37,0,0,,,,,,,,,,
48,5,10-Mar-15,UR,GAMO,74,1,1,P,1,1,,74-N,,0,2.15,8.09,,3.34,0,0,,,,,,,,,,
2,1,4-Mar-15,Beach,GAMO,59,1,1,P,1,1,,59-L,,0,2.4,7.01,,3.3,0,0,,,,,,,,,,
67,7,10-Mar-15,AZ,GAMO,122,1,1,W,1,1,,122-N,,0,2.5,7.56,,3.15,0,0,,,,,,,,,,
118,11,13-Mar-15,UR,GAMO,100,1,1,P,1,1,DC527,100-L,,1,2.59,7.45,,2.88,0,0,,,,,,,,,,
9,1,4-Mar-15,UR,GAMO,89,1,1,P,1,2,DC423,89-L,,1,3.79,11.17,,,0,0,,,,,,,,,,
11,1,4-Mar-15,UR,GAMO,89,1,1,P,1,2,DC422,89-B,,1,3.27,11.64,,,0,2,,,,,,,,,,
191,17,16-Mar-15,Shire,GAMO,2,2,1,P,3,11,DC481,2-R,SOBlR,0,8.13,31.17,18.45,39.22,0,0,8.7,16.81,46.95,0.358040469,,,,,,
240,22,19-Mar-15,Mordor,GAMO,52,2,1,P,3,11,DC504,52-R,GrYSW,1,9.22,33.58,20,38.5,0,0,8.8,18.23,58.23,0.313068865,,,,,,
241,22,19-Mar-15,Mordor,GAMO,52,2,1,P,3,10,DC505,52-L,BlRSO,1,9.15,32.19,17.55,38.2,0,0,10,16.98,48.86,0.347523537,,,,,,
260,23,21-Mar-15,AZ,GAMO,24,2,1,P,3,11,DC520,24-R,SRGR,1,7.7,31.27,13.26,36.8,0,0,10.8,19.5,59.27,0.329002868,,,,,,
261,23,21-Mar-15,AZ,GAMO,24,2,1,P,3,11,DC521,24-L,OWGyS,1,7.55,31.43,12.99,34.1,0,0,10.4,24.65,68.35,0.360643745,,,,,,
242,22,19-Mar-15,Mordor,GAMO,91,2,1,P,3,10,DC506,91-R,SBlBkO,0,7.37,30.4,13.14,33.7,0,0,9.3,20.63,58.72,0.351328338,,,,,,
295,26,26-Mar-15,RIV,GAMO,132,2,1,W,3,11,DC537,132-L,BlBkWS,1,7.98,32.58,16.09,33.4,2,2,,BAD SPIN,,,,,,,,
192,17,16-Mar-15,Shire,GAMO,2,2,1,P,3,10,DC480,2-L,WGSBl,0,7.86,32.42,17.61,32.12,0,0,8.4,12.44,37.98,0.327540811,,,,,,
193,17,16-Mar-15,Shire,GAMO,2,2,1,P,3,10,DC482,2-B,YYSG,1,8.25,32.46,17.07,31.8,0,0,8.7,18.3,50.46,0.362663496,,,,,,
250,23,19-Mar-15,UR,GAMO,35,2,1,W,3,11,DC510,35-R,BkGySW,0,6.52,30.7,13.37,31.73,0,2,4.3,11.18,58.89,0.189845475,,,,,,
126,12,13-Mar-15,Gondor,GAMO,131,2,1,W,3,11,DC467,131-L,RGYS,0,7.22,30.42,15.39,31.63,0,2,6.7,14.82,57.2,0.259090909,,,,,,
302,26.5,27-Mar-15,gondor mesa,GAMO,138,2,1,P,3,8,DC543,138-L,WSBkGy,1,7.31,29.17,13.63,30.4,0,0,9.9,20.1,59.57,0.337418164,,,,,,
243,22,19-Mar-15,Rohan,GAMO,91,2,1,P,3,10,DC507,91-L,SYGyW,1,7.09,30.88,11.3,29.8,0,0,7.4,16.56,56.68,0.292166549,,,,,,
251,23,19-Mar-15,UR,GAMO,35,2,1,W,3,11,DC511,35-L,YGSBk,0,6.99,30.22,11.24,29.34,0,2,5.8,15.1,49.82,0.303091128,,,,,,
303,26.5,27-Mar-15,gondor mesa,GAMO,138,2,1,P,3,7,DC544,138-N,ROGS,1,7.19,28.64,12.46,28.7,0,0,9.3,14.37,44.81,0.320687347,,,,,,
228,21,19-Mar-15,Secret Gondor,GAMO,137,2,1,P,3,10,DC486,137-B,RBkBkS,1,6.86,28.86,13.47,28.6,0,0,8.7,18.89,57,0.331403509,,,,,,
239,22,19-Mar-15,Rohan,GAMO,129,2,1,W,3,10,DC503,129-L,RGyGyS,0,6.52,29.21,9.87,28,4,1,7.8,14.68,46.17,0.317955382,,,,,,
231,21,19-Mar-15,RIV,GAMO,95,2,1,P,3,10,DC487,95-R,BlSOR,1,6.39,27.7,11.12,27.8,0,0,10,16.31,47.79,0.341284788,,,,,,
227,21,19-Mar-15,Secret Gondor,GAMO,137,2,1,P,3,10,DC485,137-L,RSYY,1,6.14,28.42,13.84,26.1,0,0,8.6,19.66,64.28,0.305849409,,,,,,
135,12,13-Mar-15,UR,GAMO,98,2,1,W,3,10,DC465,98-L,YGSGy,0,7.53,2.32,14.36,25.93,0,1,,12.54,54.4,0.230514706,,,,,,
262,24,21-Mar-15,AZ,GAMO,24,2,1,P,3,10,DC522,24-N,BlSGBl,0,6.11,24.95,7.13,24.8,0,0,7.6,15.38,55.71,0.276072518,,,,,,
238,22,19-Mar-15,Rohan,GAMO,129,2,1,W,3,10,DC502,129-R,SBlGY,0,6.76,26.17,10.42,23.7,3,2,4.7,3.96,20.67,0.191582003,,,,,,
226,21,19-Mar-15,Secret Gondor,GAMO,137,2,1,P,3,10,DC484,137-R,SWOR,0,4.29,27.05,12.11,23.3,0,1,7.7,14.75,52.97,0.278459505,,,,,,
40,5,9-Mar-15,UR,GAMO,98,2,1,W,2,6,,98-B,,0,6.03,21.33,,22.41,0,2,5.2,15.44,58.42,0.26429305,,,,,,
274,25,21-Mar-15,RIV,GAMO,132,2,1,W,2,6,DC537,132-L,,1,5.04,21.77,3.27,22.4,0,2,5.8,10.57,45.6,0.231798246,,,,,,
39,5,9-Mar-15,UR,GAMO,98,2,1,W,2,6,DC465,98-L,,0,5.53,21.49,,22.37,0,2,,11.4,42.79,0.266417387,,,,,,
142,13,14-Mar-15,mordor,GAMO,52,2,1,P,2,6,DC504,52-R,,1,6.38,21.99,5.04,22.25,0,0,6.2,16.94,48.99,0.345784854,,,,,,
258,23,21-Mar-15,ROHAN,GAMO,53,2,1,W,3,10,DC518,53-R,GyOSR,0,7.38,27.27,10.56,22.2,0,2,9.2,20.48,60.57,0.338121182,,,,,,
42,5,9-Mar-15,UR,GAMO,98,2,1,W,2,6,,98-R,,0,5.78,20.17,,21.48,0,2,,16.96,63.41,0.267465699,,,,,,
88,9,11-Mar-15,Shire,GAMO,2,2,1,P,2,6,DC481,2-R,,0,5.44,18.41,3.02,20.51,,0,7, , ,,,,,,,
259,23,21-Mar-15,ROHAN,GAMO,53,2,1,W,3,10,DC519,53-L,BlYSR,0,6.38,27.07,9.27,20.5,0,2,6,12.02,49.01,0.24525607,,,,,,
30,4,8-Mar-15,Plot,GAMO,131,2,1,W,2,6,DC418,131-R,,1,5.46,19.09,3.61,19.94,0,2,5.7,13.54,54.57,0.248121679,,,,,,
