year,nest,yearnest,rain,round,treatment,age,nestlings,fledglings,fledged at least 1,intensity,vidID,allopreening,begging,calm,fly,sanitation,standing at rim,standing in nest,feeding nestlings ,Inserted food ,sitting ,out of sight,preening,agitation ,adult ate food ,Grand Total,Fly,adult ate food ,vid sec,feed sec,sec present,percent feedpres,NDVI,vid date,adults,first rnd
2015,51,2015-51,171.4,2,P,5,4,4,1,0,2015-51-1,19.8,5.3,52.6,,9,5.7,,1.7,0,40.6,19.1,,,,153.8,,,1691.376963,28.75340838,1368.323963,2.101359703,0.605074359,4/19/15,2,0
2015,52,2015-52,204,2,P,7,4,4,1,0,2015-52-2,7.2,17.8,79.9,0,0.4,6.2,,2.6,0,2.7,80.3,,1.4,,198.5,1,,7207.067248,187.3837484,1419.792248,13.19796954,0.605074359,4/26/15,2,1
2015,86,2015-86,148.8,2,P,2,4,4,1,0,2015-86-1,17.9,7.1,68.7,0,1.8,5.5,,6.2,0,37.3,32.7,3.8,0.2,0,181.2,6,,9596.926606,595.0094495,6458.731606,9.212481426,0.689067857,4/13/15,3,0
2015,86,2015-86,168.9,2,P,4,4,4,1,0,2015-86-2,47.7,1.7,64,0,2.2,5.2,,1.5,0,11.5,29.3,2.4,0.6,0,166.1,2,,9603.262799,144.048942,6789.506799,2.121640736,0.689067857,4/15/15,3,0
2015,91,2015-91,204.8,2,P,6,5,5,1,2,2015-91-1,7.9,5.4,85.8,,0.3,4.5,,1.2,0,14.6,64,,0.4,,184.1,,,7755.484375,93.0658125,2791.974375,3.333333333,0.605074359,4/30/15,2,1
2015,95,2015-95,204,2,P,4,4,4,1,0,2015-95-2,2.4,4.5,55.2,0,0.3,3.6,0.6,1.3,0,45.7,46.1,,1.4,,161.1,1,,4351.852495,56.57408243,2345.648495,2.41187384,0.605074359,4/25/15,3,1
2015,95,2015-95,204,2,P,5,4,4,1,0,2015-95-3,2.2,22.3,72.9,0,0.4,3.5,,1.1,0,6.2,86.3,,3.8,,198.7,1,,6039.12978,66.43042758,827.3607798,8.02919708,0.605074359,4/26/15,3,1
2015,95,2015-95,204,2,P,6,4,4,1,0,2015-95-4,8.6,19.9,75,,0.1,8.2,,2,0,19.9,61.2,,4.2,,199.1,,,7198.665033,143.9733007,2793.082033,5.154639175,0.605074359,4/27/15,3,1
2015,98,2015-98,201.8,2,W,4,3,0,0,42,2015-98-3,44.9,1.8,94,0,0.6,5,,0.9,0,3,45.2,,0.2,0,195.6,4,,11192.38938,100.7315044,6133.429381,1.642335766,0.605074359,4/23/15,3,1
2015,98,2015-98,204,2,W,5,3,0,0,42,2015-98-4,67.5,3.3,69.4,0,0,1.8,0.3,0.7,0,5.7,24.1,,,,172.8,2,,7203.655602,50.42558921,5467.574602,0.92226614,0.605074359,4/24/15,3,1
2015,1,2015-1,168.9,2,W,3,1,0,0,56,1/1/15,25.7,5.1,41.3,,,0.5,,0.1,0,41.9,34.4,0.9,1.3,,,,,7662.140811,76.62140811,7508.897995,1.020408163,0.689067857,4/15/15,2,0
2015,115,2015-115,168.9,2,W,2,2,0,0,59,2015-115-1,78.3,0.9,91.8,,,10.3,,,,,11.4,,7.3,,,,,1703.503193,1959.028672,1669.433129,117.3469388,0.689067857,4/15/15,2,1
