year,Date.Band,date,local,species,band,recap,colors,sex,CP.BP,bill.length,tarsus,chord,mass,nest,present.2016,hct1,hct2,hct,treatment,capture.number,date.of.chicks,hatch.date,Blood.OD,phil.215cal,phil.216cal,klh.215cal,klh.216cal,igg,pox.1,poxnotes,nest1egg,nest1nestling,nest1fledge,nest2egg,nest2nestling,nest2fledge,intensity1,intensity2,scaledmass,repeat.,Date.second.nest,,second.clutch.age,Gravid,total.nests,total.eggs,total.nestlings,total.fledglings,nestage
2016,28-Jan-16-DC648,1/28/16,Pony,GAMO,DC648,0,OSWO,M,,14.61,34.67,109,47.5,137,,27.38,62.43,0.439,W,1,1,1/28/16,0.143509615,0.314568399,0.161295775,1.648584343,2.537812777,1.17145917,0.285166667,0,3,3,0,NA,NA,NA,28,NA,47.66989255,,,,,,,,,,16
2016,21-Jan-16-DC637,1/21/16,Riv,GAMO,DC637,0,GSBlW,M,BP0/CP1,15.32,35.54,108.5,43.9,117,,28.15,63.69,0.452,W,1,-9,1/31/16,0.028666667,0.319649032,0.119666667,1.826291012,2.755,1.172297107,0.045166667,0,3,3,0,NA,NA,NA,20,NA,41.93682582,,,,,,,,,,6
2016,15-Feb-16-DC444,2/15/16,Rivendale,GAMO,DC444,1,OGBkS,M,CP2,16.71,35.77,110,44.9,1,,27.28,57.91,0.471,W,2,2,2/14/16,0.286757426,0.322232506,0.211467281,1.105206569,1.476232726,0.992229842,0.014897727,0,4,3,0,NA,NA,NA,0,NA,42.34502156,,,,,,,,,,17
2016,21-Jan-16-DC638,1/21/16,Helm's deep,GAMO,DC638,0,BkSGyR,F,BP3,15.71,35.85,100,43.2,107,,20.74,52.47,0.395,P,1,-4,1/26/16,0.028666667,0.328552905,0.123,0.853484457,1.2875,1.531269742,0.065833333,0,4,3,3,NA,NA,NA,0,NA,40.56103484,,,,,,,,,,11
2016,04-Feb-16-DC457,2/4/16,UR,GAMO,DC457,1,GSBlR,M,,15.12,36.17,NA,46.9,75,,22.28,47.95,0.465,W,1,5,1/31/16,0.034615385,0.33302718,0.170760563,0.684534425,1.053764836,0.538335037,NA,0,3,3,1,NA,NA,NA,115,NA,43.26313816,,,,,,,,,,20
2016,19-Feb-16-DC706,2/19/16,Beach ,GAMO,DC706,0,GOGS,F,BP5,15.77,35.27,106.5,36,59,,22.91,66.02,0.347,P,2,11,2/9/16,0.0375,0.33335493,0.218766448,0.258487956,0.345264307,0.868723852,0.011238636,0,4,3,2,NA,NA,NA,0,NA,34.9159887,,,,,,,,,,26
2016,29-Jan-16-DC448,1/29/16,Mordor,GAMO,DC448,1,SOBkG,M,CP3,15.64,32.27,110.5,45.6,51,,26.82,57.56,0.466,P,1,1,1/29/16,0.042548077,0.339180108,0.173915493,0.935541304,1.440162091,1.037653351,NA,0,4,3,3,NA,NA,NA,0,NA,52.78537482,,,,,,,,,,16
2016,18-Feb-16-DC549,2/18/16,AZ,GAMO,DC549,1,BlSBkR,M,CP3,15.63,37.26,109,48.4,24,,21.94,51.43,0.427,W,2,1,2/18/16,0.069642857,0.304436628,0.199788615,1.077159489,1.43877003,1.033770232,0.055147727,0,2,2,2,NA,NA,NA,14,NA,42.08533585,,,,,,,,,,16
2016,21-Jan-16-DC043,1/21/16,Helm's deep,GAMO,DC043,1,GBlYS,M,CP2,15.95,34.84,110.5,42.3,107,,28.12,65.82,0.427,P,1,-4,1/26/16,0.019666667,0.358826072,0.134333333,1.103950381,1.665333333,1.160735992,0.036166667,0,4,3,3,NA,NA,NA,0,NA,42.04008296,,,,,,,,,,11
2016,21-Jan-16-DC445,1/21/16,Helm's deep,GAMO,DC445,1,WSBlBk,F,BP4,15.33,31.06,100,43,140,,21.17,55.3,0.383,P,2,0,1/22/16,0.035,0.364168396,0.136333333,1.046388517,1.5785,1.265942142,NA,empty,2,2,2,NA,NA,NA,0,NA,53.7089022,,,,,,,,,,15
2016,21-Jan-16-DC639,1/21/16,Helm's deep,GAMO,DC639,0,RROS,M,CP1,15.22,35.93,107.5,47.6,140,,NA,NA,0.413,P,1,0,1/22/16,0.034333333,0.368620332,0.138,1.532626069,2.312,1.290220485,0.068833333,0,2,2,2,NA,NA,NA,0,NA,44.49444549,,,,,,,,,,15
